Name,Place Type,Tier,Star,Status,Tags,City,Country,Town,Address,Latitude,Longitude,Apple ID,Source Guides,Conflict
Equipment Room,Bar,Cool,,Visited,,Austin,United States,Austin,"1101 Music Ln, Austin, TX  78704, United States",30.252706,-97.7477229,IE49027D2751385CA,Cool_Bars,
Este,Restaurant,Fair,,Visited,,Austin,United States,Austin,"2113 Manor Rd, Austin, TX  78722, United States",30.2839984,-97.7195545,I13DFEB1C6CDE3396,Fair_Restaurants_,
Ezov,Restaurant,Experience,Yes,Visited,,Austin,United States,Austin,"2708 E Cesar Chavez St, Austin, TX  78702, United States",30.2534496,-97.7135143,I32D29F09541EACA3,Experience_Spots; Michael_s_Top_Faves,
Fabrik,Restaurant,Destination,,Visited,,Austin,United States,Austin,"1701 E Martin Luther King Jr Blvd, Ste 102, Austin, TX 78702, United States",30.279275,-97.7229734,IF933ED8DB4852985,Designation,
Fair Lane Cocktails & Coffee,Restaurant,,,Visited,Breakfast & brunch,Austin,United States,Dripping Springs,"29035 Ranch Road 12, Dripping Springs, TX  78620, United States",30.2099656,-98.0885389,IB6AF77827DA61823,Breakfast___Brunch,
Favorite Pizza,Restaurant,Fair,,Visited,,Austin,United States,Austin,"801 W 6th St, Austin, TX  78703, United States",30.2702038,-97.7508121,IC508B15FF4FBF9C,Fair_Restaurants_,
Feral Pizza,Restaurant,Fair,,Visited,,Austin,United States,Austin,"500 E 51st St, Austin, TX  78751, United States",30.3140474,-97.7190572,IFCE56BF44B5C0CEF,Fair_Restaurants_,
Finley's,Restaurant,Fair,,Visited,,Austin,United States,Round Rock,"410 W Main St, Round Rock, TX  78664, United States",30.5076732,-97.6829054,I4E6996B3EAC21C9A,Fair_Restaurants_,
Firehouse Lounge,Bar,Cool,,Not visited,,Austin,United States,Austin,"605 Brazos St, Austin, TX  78701, United States",30.2681766,-97.7410475,I20BB96BC9CF277C3,Cool_Bars; Try_List,TIER+UNVISITED
First Light Books,Outdoors & attraction,,,Visited,,Austin,United States,Austin,"4300 Speedway, Austin, TX  78751, United States",30.3069791,-97.729769,IBC01B77B2643B5FA,Fun_Locations,
First Watch,Restaurant,,,Visited,Breakfast & brunch,Austin,United States,Cedar Park,"1320 E Whitestone Blvd, Ste 600, Cedar Park, TX  78613, United States",30.525176,-97.813857,I3D65732C69869FAF,Breakfast___Brunch,
Fixe Southern House,Restaurant,Destination,,Visited,,Austin,United States,Austin,"500 W 5th St, Austin, TX 78701, United States",30.2688316,-97.7481585,I70B5BC510B84898B,Designation,
Flo's Wine Bar & Bottle Shop,Restaurant,Fair,,Not visited,,Austin,United States,Austin,"3111 W 35th St, Austin, TX  78703, United States",30.3132509,-97.7668815,IB0A1596FF90DB9E8,Fair_Restaurants_; Try_List,TIER+UNVISITED
Folklore Spa,Outdoors & attraction,,,Visited,,Austin,United States,Dripping Springs,"3509 Creek Rd, Dripping Springs, TX  78620, United States",30.1814967,-98.1470262,I39FFA66282E673E,Fun_Locations; Hotels,
Fonda San Miguel,Unclassified,,,Not visited,,Austin,United States,Austin,"2330 W North Loop Blvd, Austin, TX  78756, United States",30.3254954,-97.7434811,I56DDA3514FC2F444,Try_List,
Foreign & Domestic,Restaurant,Fair,,Visited,,Austin,United States,Austin,"306 E 53rd St, Austin, TX  78751, United States",30.3170812,-97.7196156,IA826743FF9A35DF5,Fair_Restaurants_,
Form + Function Massage,Outdoors & attraction,,,Visited,,Austin,United States,Austin,"900 E 6th St, Unit 103, Austin, TX 78702, United States",30.2654714,-97.7331476,I2A21240E4FD052C0,Fun_Locations,
Franklin Barbecue,Restaurant,Destination,,Visited,,Austin,United States,Austin,"900 E 11th St, Austin, TX 78702, United States",30.2700843,-97.7312786,IAA409CDF9D3555A9,Designation,
Freda's Seafood Grille,Restaurant,Fair,,Visited,,Austin,United States,Austin,"10903 Pecan Park Blvd, Austin, TX  78750, United States",30.463987,-97.803847,I6BAD4F2AA7417390,Fair_Restaurants_,
Freddo ATX,Bar,Fair,,Visited,,Austin,United States,Austin,"2336 S Congress Ave, Austin, TX  78704, United States",30.2391733,-97.7535465,IDE9FE47B94EAC15E,Fair_Bars,
Friedhelm's Bavarian Inn,Restaurant,Fair,,Visited,,Austin,United States,Fredericksburg,"905 W Main St, Fredericksburg, TX  78624, United States",30.2849561,-98.8868988,IF763FDCDB7E2A00,Fair_Restaurants_,
Frontyard Brewing,Bar,Fair,,Visited,,Austin,United States,Spicewood,"4514 Bob Wire Rd, Spicewood, TX  78669, United States",30.3581871,-98.0560622,IAD551F7F4DDA51E9,Fair_Bars,
Fukumoto,Restaurant,Fair,,Visited,,Austin,United States,Austin,"514 Medina St, Austin, TX  78702, United States",30.2647597,-97.7319568,ID8A444C55D6B7659,Fair_Restaurants_,
Garage,Bar,Fair,,Visited,,Austin,United States,Austin,"503 Colorado St, Austin, TX  78701, United States",30.2678726,-97.7441783,IA8EAD4BDE0425EC,Fair_Bars,
